cod_comarca;comarca;RFDB (miles de euros);RFDB por habitante (miles de euros);renta 100;Población;Superficie km²;Densidad 
1;Alt Camp;719059;16;88,4;45045;538;83,7
2;Alt Empordà;2033572;15;80,5;143762;1358;105,9
3;Alt Penedès;1835627;17;92,4;110172;593;185,9
4;Alt Urgell;293983;15;80,4;20453;1447;14,1
5;Alta Ribagorça;61648;16;88,2;3945;427;9,2
6;Anoia;1960905;16;88,2;124112;866;143,3
7;Bages;3085674;17;95,1;180962;1092;165,7
8;Baix Camp;3062021;16;86,8;195098;697;279,9
9;Baix Ebre;1121220;15;79,4;78721;1003;78,5
10;Baix Empordà;2036804;15;84,1;137268;702;195,6
11;Baix Llobregat;15547428;19;103,6;833312;486;1714,7
12;Baix Penedès;1582060;15;82,1;110439;296;372,5
13;Barcelonès;46592739;20;112,2;2280967;146;15649,9
14;Berguedà;681917;17;94,6;40004;1185;33,8
15;Cerdanya;287647;16;86,6;19230;547;35,2
16;Conca de Barberà;326812;17;90,5;20104;650;30,9
17;Garraf;2767640;19;102;154264;185;833,4
18;Garrigues;271163;14;78,6;19010;798;23,8
19;Garrotxa;999093;18;96,2;59163;735;80,5
20;Gironès;3344210;18;96,6;196768;576;341,9
21;Maresme;8283683;18;101;459625;399;1153,3
22;Montsià;907074;13;72,4;68397;735;93
23;Noguera;550304;14;78,7;39169;1784;22
24;Osona;2827727;18;96,9;164077;1245;131,8
25;Pallars Jussà;195967;15;82,9;13170;1343;9,8
26;Pallars Sobirà;107520;16;85,5;7101;1378;5,2
27;Pla d'Urgell;556027;15;82,1;36769;305;120,5
28;Pla de l'Estany;548637;17;93,4;32876;263;125,1
29;Priorat;137857;15;82,6;9239;499;18,5
30;Ribera d'Ebre;328019;15;83,3;21864;827;26,4
31;Ripollès;439982;18;96,6;25449;957;26,6
32;Segarra;335685;15;81,1;23412;723;32,4
33;Segrià;3319170;16;87,8;211609;1397;151,5
34;Selva;2551694;15;82,5;175702;995;176,6
35;Solsonès;209284;15;83,9;13600;1001;13,6
36;Tarragonès;4106961;16;86,7;262001;319;820,4
37;Terra Alta;166569;15;80,8;11401;743;15,3
38;Urgell;544202;15;81,4;37276;580;64,3
39;Aran;169471;17;93;10372;634;16,4
40;Vallès Occidental;17235816;19;101,7;937422;583;1607,6
41;Vallès Oriental;7373976;18;98,5;415789;735;565,7
42;Moianès;235140;17;94,6;14243;338;42,2
